svd,EXHIBITION_NAME,EXHIBITION_COUNTRY,EXHIBITION_LOCATION,EXHIBITS,EXHIBITION_INDUSTRY,FREQUENCY,CONTACT_EMAIL
0.622970277,St. Petersburg Technical Fair (PTFair),Russia,Lenexpo,"Metallurgy, Casting, Mechanical engineering, Compressors, Pumps, Valves and Accessories, Metalworking, High Technologies/Innovations/Investments (Hi-Tech), Services for industrial enterprises, Non-metallic materials.","Machinery,IndustrialTechnology/Metals,MetalProducts,Hardware,Tools;Machinery,IndustrialTechnology/MachineTools,Metalworking;Machinery,IndustrialTechnology/ManufacturingTechnology&Engineering",Annual,main@restec.ru
0.579019402,electronica China,China,Shanghai New International Expo Centre (SNIEC),"Electronics, Microelectronics, Opto-Electronics, IC Technology, Electronic Parts, Microwave Technology, Sensor System, Switches, Relays, Connecting Devices, Measuring Systems, Testing Devices, Other Electronic Components and Assemblies, Systems, Peripherals.","Machinery,IndustrialTechnology/ManufacturingTechnology&Engineering;Machinery,IndustrialTechnology/Electric&Electronics(Products,Machinery);Machinery,IndustrialTechnology/Testing,Measuring&Analyzing,PrecisionMechanics",Annual,stephen.lu@mmi-shanghai.com
0.561332105,LASER World of PHOTONICS CHINA 2015,China,Shanghai New International Expo Centre,"Laser and Optronics, Optics, Sensors Test and Measurement, Optical manufacturing technology, Laser production engineering, Laser Medical and bio technology, Imaging and Illumination, Services.","Information,Telecommunication/Optics,OpticalInstruments,Laser;Machinery,IndustrialTechnology/Electric&Electronics(Products,Machinery)",Annual,laser@mmi-shanghai.com
0.460478736,14th International trade fair for innovative electronics production(productronica China),China,Shanghai New International Expo Centre (SNIEC),"Materials processing / Semiconductor and display manufacturing / Component manufacturing / Production logistics and material-flow technology / Manufacturing equipment and logistics for assemblies, modules and hybrids / General operation aids and production subsystems / Production related services.","Machinery,IndustrialTechnology/ManufacturingTechnology&Engineering;Machinery,IndustrialTechnology/Electric&Electronics(Products,Machinery);Machinery,IndustrialTechnology/Testing,Measuring&Analyzing,PrecisionMechanics",Annual,info@mmi-shanghai.com
0.606563203,SEMICON China 2015,China,Shanghai New International Expo Centre,"Semiconductor, FPD, micro-electromechanical systems (MEMS), photovoltaics (PV), flexible electronics and displays, nano-electronics, solid state lighting (LEDs), related technologies, etc.","Machinery,IndustrialTechnology/Electric&Electronics(Products,Machinery);Machinery,IndustrialTechnology/ManufacturingTechnology&Engineering;Machinery,IndustrialTechnology/AdvancedTechnology/Materials,Composites,R&D;FundamentalIndustries/Mining,Energy;Building,Construction/Sanitation,Air-conditioning,Plumbing,Lighting",Annual,semichina@semi.org
0.460978054,8th Expo Seguridad Industrial Mexico,Mexico,Banamex Center,"Industrial Safety, Occupational Health and Hygiene.","Living/Security,Safety,FireProtection,Police,Defense;MedicalCare,Health/HealthCare(Equipment,Products&Services);Services/OccupationalSafetyandHealth,LaborManagement",Annual,visitantes@exposeguridadindustrial.com
0.526644917,Energy Storage Europe 2015,Germany,Messe Duesseldorf,Energy storage.,"FundamentalIndustries/Mining,Energy",Annual,info@messe-duesseldorf.de
0.506699112,"ISH - The world's leading trade fair for the Bathroom Experience, Building, Energy, Air-conditioning Technoloby, Renewable Energies(ISH)",Germany,Messe Frankfurt,"swimming pools, whirlpools, shower cubicles, fittings, bath furniture/accessories. heating boilers, burners, heating systems, heat pumps, tiled stoves, solar technology, biomass, test/control equipment. plumbing technology, surface heating. air-conditioning. etc.","Building,Construction/Sanitation,Air-conditioning,Plumbing,Lighting;Machinery,IndustrialTechnology/Testing,Measuring&Analyzing,PrecisionMechanics;Building,Construction/EquipmentforPublicFacility,UrbanDevelopment;Living/Furniture&Furnishings,Parts",Biennial,ish@gentner.de
0.414171319,Power-Days Salzburg,Austria,Messezentrum Salzburg,"Electrical, energy, installation and drives, renewable energy, Communication and surveillance systems, Lighting and Lighting Technique, Safety devices and equipment, manufacturing and office facility.","Machinery,IndustrialTechnology/Electric&Electronics(Products,Machinery);Information,Telecommunication/Telecommunication,DataProcessing,Computer;FundamentalIndustries/Mining,Energy;Building,Construction/Sanitation,Air-conditioning,Plumbing,Lighting;Services/OccupationalSafetyandHealth,LaborManagement;Living/Security,Safety,FireProtection,Police,Defense",Biennial,info@messe.at
0.473891511,VIV Asia Bangkok 2015,Thailand,Bangkok International Trade & Exhibition Centre,"Industrial feed processing equipment, supplies, raw materials, Feed, Animal breeding, Farm equipment, Meat processing/packaging/handling, refrigeration, egg processing, dairy processing etc.","Agriculture,Forestry,FisheryandFood/Agriculture,Forestry,FisheryProducts;Machinery,IndustrialTechnology/OtherIndustrialMachinery&Equipment;Agriculture,Forestry,FisheryandFood/Food&Beverages,FoodProcessing",Biennial,viv.china@vnuexhibitions.com
0.530194214,1st Nursing Care Products and Nursing Home Industry Trade Expo Tokyo(CareTEX),Japan,Tokyo Big Sight,"Nursing care equipments, Equipments for nursing care facilities, services for the nursing care facilities.","MedicalCare,Health/Welfare&NursingEquipment,Rehabilitation;Living/Housewares,Tableware,Porcelain,Glassware;Information,Telecommunication/Telecommunication,DataProcessing,Computer;Hobby,Education/Hobby,Do-It-Yourself,Collector'sItems",Annual,info@caretex.jp
0.496731864,Giardina,Switzerland,Messe Basel,"Living Greenery, Garden Tools, Garden Creation and Design, Landscaping.Concepts for gardens, terraces, living and flower arrangements.","Hobby,Education/Horticulture,Gardening",Annual,info@giardina.ch
0.579283703,Kiev International Furniture Forum Kiff (Kiff 2015),Ukraine,KyivExpoPlaza Exhibition center,"Furniture and Interior Objects, Furniture, lighting, interior, new collections, global brands.","Living/Furniture&Furnishings,Parts;Building,Construction/Sanitation,Air-conditioning,Plumbing,Lighting",Annual,"furniture@kmkya.kiev.ua,"
0.45531224,BTL- International Tourism Exhibition 2015(BTL),Portugal,Feira Internacional de Lisboa,"Tourism show for tour operators, national and professional tourism associations, official organisations,etc.","Hobby,Education/Tourism&Travel(Goods,Facilities&Services)",Annual,NULL
0.554514012,Amusement Expo,United States,Las Vegas Convention Center (LVCC),"amusement, music and family entertainment.","Hobby,Education/Toys&Games;Hobby,Education/Amusement&Entertainment;Hobby,Education/Music(Instruments,Discs,SheetMusic);Information,Telecommunication/Telecommunication,DataProcessing,Computer",Annual,brian@wtglasgow.com
0.568291475,"Salon Professional Parizza - The trade show Pizza, Pasta and Italian Food (Parizza )",France,Paris expo Porte de Versailles,"Hot Beverages, Cold Non-Alcoholic Beverages, Alcoholic Beverages, Bakery, Cakes, Packaging, Machinary, Flavor, Fruit & Vegetables, Ice Cream, Ingredients, Additives, Pasta, Pizza, Ready-made Meals, Seafood, Dairy, Cheese, Sauces, Oil, Vinegar, Meat, Poultry, etc.","Agriculture,Forestry,FisheryandFood/Food&Beverages,FoodProcessing;Information,Telecommunication/Telecommunication,DataProcessing,Computer",Annual,tiphaine.mezzomo@reedexpo.fr
0.583397032,16th Sandwich & Snack Show,France,Paris expo Porte de Versailles,"Food products, packaging, equipment and services.","Agriculture,Forestry,FisheryandFood/Food&Beverages,FoodProcessing;Transportation,Logistics,Packaging/Packaging(Materials,Machinery&Equipment)",Annual,marketing@sandwichshows.com
0.620396963,THE 15th EDITION OF BULGARIA BUILDING WEEK,Bulgaria,Inter Expo Center,"Construction equipment, machinery, tools, insulation, building materials, window frames, doors, windows, sanitary equipment, green building, energy efficiency, geodesy, photogrammetry, cartography.","Building,Construction/Building&Construction,RealEstate;Building,Construction/Sanitation,Air-conditioning,Plumbing,Lighting;Machinery,IndustrialTechnology/Metals,MetalProducts,Hardware,Tools;Environment/EnvironmentalProtection,WasteDisposal,Recycling;FundamentalIndustries/Mining,Energy",Annual,buildingweek@iec.bg
0.588880094,China International Fashion Fair 2015(CHIC2015),China,National Convention and Exhibition Center,"Apparels and Garments (Women's, Men's and Children's), Sports Wear, Casual Wear, Inners, Shoes, Bags, Hats, Jewelleries and Fashion Accesories, Leather","Living/Leather(Materials,Products,Machinery),Footwear;Living/Textiles&Apparel(Materials,Products&Machinery);Living/ArticlesforChildren&Baby",Twice a year,lvjiang@cwtc.com
0.624644466,Osaka International Gift Show Autumn 2015 (54th)(OIGS),Japan,Osaka Merchandise Mart,"Personal gifts, miscellaneous consumer products, novelty goods sales promotion, fashion accessorys, design goods.","Living/Paper&PaperProducts,Printing&Publishing;Living/Furniture&Furnishings,Parts;Living/Housewares,Tableware,Porcelain,Glassware;Living/Gifts,Handicrafts,Premiums&Incentives;Living/Jewelry,Gold/Silverware,Accessories;Living/Cosmetics,BeautyCareProducts,Perfumery",Twice a year,giftwest@businessguide-sha.co.jp
0.574151685,The 13th International Auto Aftermarket EXPO 2015(IAAE 2015),Japan,Tokyo Big Sight (Tokyo International Exhibition Center),"All auto-related products such as auto parts, accessories, hand tools, auto repair & maintenance, specialty equipment & modification, auto supplies, car detailing, auto trading, e-commerce, enhancing added value and making proposals to change business systems.","Transportation,Logistics,Packaging/Automobiles(incl.Parts,Machinery);Transportation,Logistics,Packaging/Equipment&SupplyforAutomotiveServices",Annual,NULL
0.433312152,31st Korea International Medical & Hospital Equipment Show(KIMES 2015),South Korea,Coex Convention and Exhibition Center,"health care facilities, hospital equipment and modernization of the development of the domestic medical device industry.","MedicalCare,Health/Medical&HospitalEquipment,,Supplies;MedicalCare,Health/HealthCare(Equipment,Products&Services)",Annual,kimes@kimes.kr
0.516716678,"The 13th Indonesian Dedicated Architecture, Interior Design & Building Exhibition and Conference(MEGA BUILD)",Indonesia,Jakarta Convention Center,"Building Materials & Equipment: Accessories, Ceiling, Art, Doors and Windows, Finishing, Flooring, Foundation, River Stones, Furniture, Glass, Lighting, Roofing, Sanitary Ware, Structural Material, etc.","Building,Construction/Building&Construction,RealEstate;Building,Construction/EquipmentforPublicFacility,UrbanDevelopment;Machinery,IndustrialTechnology/Metals,MetalProducts,Hardware,Tools;Services/ShopFitting&Equipment,Display;Living/Furniture&Furnishings,Parts;Environment/EnvironmentalProtection,WasteDisposal,Recycling",Annual,steven.chwee@reedpanorama.com
0.386918572,COSMOPACK,Italy,BolognaFiere,"Containers and Packaging Materials, Raw Materials, Subcontracting Production, Packaging Machines and Accessories, Technologies and Services for the Cosmetics Industry.","Transportation,Logistics,Packaging/Packaging(Materials,Machinery&Equipment);Living/Cosmetics,BeautyCareProducts,Perfumery",Annual,sogecos@cosmoprof.it
0.492392885,Pet Industry Trade Fair (Propet),Spain,"IFEMA, Feria de Madrid","products, accessories, food and nutrition for animals.","Hobby,Education/Pets",Annual,propet@ifema.es
0.546702004,New Energy Husum 2015,Germany,Messe Husum & Congress,"Solar energy, small wind energy, bioenergy, geothermal energy, electric mobility, heat pumps, cogeneration, log wood and pellet heating systems, energy storage systems, passive house/Energy-Efficient Building.","FundamentalIndustries/Mining,Energy;Environment/EnvironmentalProtection,WasteDisposal,Recycling;Building,Construction/Building&Construction,RealEstate;Transportation,Logistics,Packaging/Automobiles(incl.Parts,Machinery);Building,Construction/Sanitation,Air-conditioning,Plumbing,Lighting;Machinery,IndustrialTechnology/Electric&Electronics(Products,Machinery)",Annual,NULL
0.58349722,Salon Mondial du Tourisme - the International Tourism Show,France,Paris Porte de Versailles,"Travel, Thalassotherapy and Wellness.","Hobby,Education/Tourism&Travel(Goods,Facilities&Services);MedicalCare,Health/HealthCare(Equipment,Products&Services)",Annual,Marianne.chandernagor@comexposium.com
0.473942018,The Education Show 2015,United Kingdom,NEC,"General teaching resources, Stationery, Educational Toys, Computer hardware, books, Assessment tools, Indoor&Outdoor Furniture, Indoor&Outdoor play equipments, Art & Craft, etc.","Hobby,Education/Education&Training;Hobby,Education/Books&Publications,EquipmentforLibrary;Hobby,Education/Toys&Games;Information,Telecommunication/Telecommunication,DataProcessing,Computer;Living/Furniture&Furnishings,Parts;Living/Gifts,Handicrafts,Premiums&Incentives",Annual,visitor.help@i2iassist.com
0.487259516,WIN Automation,Turkey,TUYAP Fair Convention and Congress Center ( Istanbul ),"Automation, Hydraulic & Pneumatic, Electrotec(Energy, Electric and Electronic Technologies) and Materials Handling.","Machinery,IndustrialTechnology/MaterialHandling,Pneumatics;Machinery,IndustrialTechnology/Electric&Electronics(Products,Machinery);FundamentalIndustries/Mining,Energy;Machinery,IndustrialTechnology/Testing,Measuring&Analyzing,PrecisionMechanics;Information,Telecommunication/Telecommunication,DataProcessing,Computer;Machinery,IndustrialTechnology/OtherIndustrialMachinery&Equipment",Annual,ceyda.alp@hf-turkey.com
0.58421245,"REW ISTANBUL 2015 - 11th International Recycling, Environmental Technologies and Waste Management Trade Fair(REW ISTANBUL)",Turkey,TUYAP Fair Convention and Congress Center,"Solid Waste, Waste water, Waste Gas, Green Energy, General Equipment, Urban Environmental Cleaning Vehicles & Equipment, Measurement & Control Technologyies.","FundamentalIndustries/Mining,Energy;Environment/EnvironmentalProtection,WasteDisposal,Recycling;Machinery,IndustrialTechnology/Testing,Measuring&Analyzing,PrecisionMechanics;Transportation,Logistics,Packaging/Automobiles(incl.Parts,Machinery);FundamentalIndustries/Minerals,Stones,Glass,Ceramics;FundamentalIndustries/Chemistry,Rubber,Plastics,Materials",Annual,rew@ifo.com.tr
0.51490607,FOTEG ISTANBUL - 12th INTERNATIONAL TRADE FAIR FOR FOOD PROCESSING TECHNOLOGIES(FOTEG ISTANBUL 2015),Turkey,Istanbul Expo Center,"Food Processing Technologies, Food Packaging and Logistics, Food Ingredients, Bakery and Confectionary Technologies, Food Safety and Hygiene.","Agriculture,Forestry,FisheryandFood/Food&Beverages,FoodProcessing;Transportation,Logistics,Packaging/Packaging(Materials,Machinery&Equipment);Transportation,Logistics,Packaging/Logistics,Storage,Warehousing",Annual,info@hkf-fairs.com
0.529192556,33rd International Famous Furniture Fair (Dongguan)(3F),China,"Guangdong Modern International Exhibition Center (Houjie, Dongguan, China)","every essential category in the home furnishings/decor marketplace, including bedroom furniture, living room furniture, upholstery, wall decor, decorative accessories, lightings, textile.","Living/Furniture&Furnishings,Parts;Living/Textiles&Apparel(Materials,Products&Machinery);Building,Construction/Sanitation,Air-conditioning,Plumbing,Lighting",Twice a year,fbf@3f.net.cn
0.569716917,Japan Chemical Society 95th Spring Annual Meeting Annex Exhibition 2015,Japan,Nihon University Funabashi Campus,General-purpose science apparatus and equipment/ general-purpose instrument and article of consumption/analysis apparatus and equipment/the amount of physics and physical measurement equipment/examination apparatus and equipment/laboratory equipment/reagents/information processing technology/books.,"FundamentalIndustries/Chemistry,Rubber,Plastics,Materials;Machinery,IndustrialTechnology/Testing,Measuring&Analyzing,PrecisionMechanics;Information,Telecommunication/Optics,OpticalInstruments,Laser",Annual,nenkai@chemistry.or.jp
0.416213099,Foire Internationale de Lyon (Lyon International Fair),France,Parc des Expositions de Lyon,"garden products, cook workshop, customized clothing, unique pieces around creative haberdashery stalls, games, natural and organic, Creation of rest areas, audio and visual entertainment, patios.","Hobby,Education/Hobby,Do-It-Yourself,Collector'sItems;Agriculture,Forestry,FisheryandFood/Food&Beverages,FoodProcessing;Living/Textiles&Apparel(Materials,Products&Machinery);Hobby,Education/Toys&Games;Information,Telecommunication/Media,AudioVisual(Films,Photos),Graphics",Annual,foiredelyon2014@gl-events.com
0.360165715,INTERNORGA - The Leading Trade Show for Catering and Food Service(INTERNORGA ),Germany,Hamburg Messe,"Kitchen equipment and systems, Equipment and fittings, Food and beverages, Baking and confectionery supplies, shop fitting, IT, cash register systems and communications.","Services/Hotel,Restaurant&CateringBusiness;Services/ShopFitting&Equipment,Display;Agriculture,Forestry,FisheryandFood/Food&Beverages,FoodProcessing",Annual,NULL
0.53001739,28th Salon Mondial Body Fitness Form'expo,France,Paris Expo Porte de Versailles,"All the techniques, technologies and practices in fitness, wellness, fitness, strength training, dance, coaching, pilates, sporting goods","MedicalCare,Health/Fitness;Hobby,Education/Sports(Goods,Facilities&Services);MedicalCare,Health/HealthCare(Equipment,Products&Services)",Annual,laila.sougrat@reedexpo.fr
0.478200289,China Golf - PGA Merchandise Show (CGS),China,China National Convention Centre,"Golf equipment company, Golf accessories, Golf course construction and maintenance, Golf Technology, Club Facility Management, Travel & Resort, Real estate developers, builders and designers, On-course and off-course retailers.","Building,Construction/Building&Construction,RealEstate;Living/Textiles&Apparel(Materials,Products&Machinery);Hobby,Education/Sports(Goods,Facilities&Services);Living/Furniture&Furnishings,Parts;MedicalCare,Health/HealthCare(Equipment,Products&Services);Hobby,Education/Tourism&Travel(Goods,Facilities&Services)",Annual,Effie.sun@reedguanghe.com
0.454524428,Japan Drugstore Show 2015,Japan,Makuhari Messe,"OTC (Medication), Medicine, cosmetics, cosmetics miscellaneous goods, Functional foodstuffs.Healthcare, Beauty Care, Supplement, Prescription Systems and Care Products, Food and Drink, Home Care, Life Enjoyment, Store Facilities, Publishing and Others.","MedicalCare,Health/HealthCare(Equipment,Products&Services);MedicalCare,Health/Pharmaceuticals,Pharmacy;Living/Cosmetics,BeautyCareProducts,Perfumery;Agriculture,Forestry,FisheryandFood/Food&Beverages,FoodProcessing;Living/Housewares,Tableware,Porcelain,Glassware",Annual,NULL
0.587258068,64th Annual Scientific Session & Expo(ACC.15),United States,San Diego Convention Center,"Medical Devices and Equipment, Pharmaceuticals, HealthIT,  Imaging, Diagnostics, Publications and Continuing Medical Education.","MedicalCare,Health/Medical&HospitalEquipment,,Supplies;MedicalCare,Health/Welfare&NursingEquipment,Rehabilitation;MedicalCare,Health/Pharmaceuticals,Pharmacy;MedicalCare,Health/HealthCare(Equipment,Products&Services)",Annual,accexhibits@jspargo.com
0.531596209,International Home + Housewares Show 2015,United States,McCormick Place,"The Show is organized into four unique Expos to offer you and your customers the greatest selection of products for the home: 1) clean, contain + sustain, 2)dine + design, 3) discover design, 4)wired + well, and global crossroads (international pavilions).","Living/Housewares,Tableware,Porcelain,Glassware;Living/Furniture&Furnishings,Parts;Living/Gifts,Handicrafts,Premiums&Incentives;Building,Construction/Sanitation,Air-conditioning,Plumbing,Lighting;Building,Construction/BuildingMaintenance,Repair,Cleaning;Machinery,IndustrialTechnology/Electric&Electronics(Products,Machinery)",Annual,jgranda@housewares.org
0.275855486,EQUITANA 2015 - Equestrian Sports World Fair(EQUITANA),Germany,Exhibition Centre Essen,"Horses, Horsecare, Horse Healthy, Equestrian Sports Equipment, Horse Stables, Vehicles, Breeding, Feed.","Hobby,Education/Sports(Goods,Facilities&Services)",Biennial,info@equitana.de
0.464057017,35th China International Furniture Fair (Guangzhou)(1st Phase)(CIFF2015),China,China Import & Export Fair Complex,"Home Furniture (including living room, bedroom, kitchen, dining room, outdoor, children, traditional, soft furniture).","Living/Furniture&Furnishings,Parts",Twice a year,ciffxd@fairwindow.com.cn
0.444349305,Eurantica Brussels Fine Art Fair (Eurantica 2015),Belgium,Brussels Expo (Heysel),"antique paintings, modern art, jewelry, furniture or vintage stamped design.","Hobby,Education/Arts&Crafts,Antiques;Living/Furniture&Furnishings,Parts;Living/Jewelry,Gold/Silverware,Accessories",Annual,eurantica@artexis.com
0.449796572,Saudi Building & Interiors Exhibition (sbie),Saudi Arabia,Jeddah Centre for Forums & Events (JCEF),"Building, Interior, Constructon Machinery.","Building,Construction/Building&Construction,RealEstate;Building,Construction/Sanitation,Air-conditioning,Plumbing,Lighting;Building,Construction/EquipmentforPublicFacility,UrbanDevelopment;Building,Construction/BuildingMaintenance,Repair,Cleaning;FundamentalIndustries/Minerals,Stones,Glass,Ceramics;Living/Security,Safety,FireProtection,Police,Defense",Annual,ace@acexpos.com
0.553847648,31st OSAKA MOTORCYCLE SHOW 2015,Japan,INTEX OSAKA,"Domestic and international motorcycles, custom-made cars, sidecars, and biking paraphernalia.","Transportation,Logistics,Packaging/Bicycles,Motorcycles(incl.Parts);Hobby,Education/Hobby,Do-It-Yourself,Collector'sItems",Annual,NULL
0.66598656,Seafood Expo North America/Seafood Processing North America,United States,Boston Convention & Exhibition Center,"Seafood, Computers, software and information systems, Cutting machinery, technology, Freezing systems, Labeling equipment and supplies, Packaging machinery, Refrigeration systems and supplies, etc.","Agriculture,Forestry,FisheryandFood/Food&Beverages,FoodProcessing;Information,Telecommunication/Telecommunication,DataProcessing,Computer;Transportation,Logistics,Packaging/Packaging(Materials,Machinery&Equipment);Machinery,IndustrialTechnology/OtherIndustrialMachinery&Equipment;Agriculture,Forestry,FisheryandFood/Agriculture,Forestry,FisheryProducts",Annual,na-sales@seafoodexpo.com
0.519646275,ASD MARKET WEEK(ASDLV),United States,Las Vegas Convention Center,"GIFT & HOME, FASHION ACCESSORIES, TOYS + NOVELTIES, BEAUTY + FRAGRANCE, CASH & CARRY Jewelry + Gifts to Go, C-STORE, GENERAL STORE (and Closeouts too!), SMOKE.","Living/Textiles&Apparel(Materials,Products&Machinery);Living/Cosmetics,BeautyCareProducts,Perfumery;Living/Jewelry,Gold/Silverware,Accessories;Hobby,Education/Toys&Games;Hobby,Education/Sports(Goods,Facilities&Services);Others/Others",Twice a year,joceline.arnold@emeraldexpo.com
0.456752714,ProWein - International Trade Fair Wines and Spirits(ProWein 2015),Germany,Messe Duesseldorf,"Alcoholic drinks: wine, sparkline wine, plum wine, etc.","Agriculture,Forestry,FisheryandFood/Food&Beverages,FoodProcessing",Annual,prowein@messe-duesseldorf.de
0.548030869,Franchise Expo Paris,France,Porte de Versailles,"Products and services for franchising equipment, management, communications, signs, financial help and training.","Services/Retail/WholesaleBusiness,Distribution,Franchising",Annual,info@franchiseparis.com
0.521990447,The International Food & Drink Event(IFE15),United Kingdom,ExCeL London - The International Exhibition & Conference Centre,Food and drink. Packaging for food and drink.,"Agriculture,Forestry,FisheryandFood/Food&Beverages,FoodProcessing;Transportation,Logistics,Packaging/Logistics,Storage,Warehousing;Transportation,Logistics,Packaging/Packaging(Materials,Machinery&Equipment)",Biennial,corby.ganesh@freshmontgomery.co.uk
0.595153151,Esthetique SPA International,Canada,Vancouver Convention Centre,"esthetics, spas and well-being.","MedicalCare,Health/HealthCare(Equipment,Products&Services);Living/Cosmetics,BeautyCareProducts,Perfumery",Annual,info@spa-show.com
0.594466669,SHIPPING 2015,United States,"Hilton Hotel, Stamford","Shipping industry: shipyards, ship management, communications, registries, spill response, financiers, bunker suppliers and etc.","Transportation,Logistics,Packaging/Marine,Shipbuilding,Shipping,PortEquipment;Others/Others;Information,Telecommunication/Telecommunication,DataProcessing,Computer;Services/Finance,Banking,Insurance",Annual,conferences@cmaconnect.com
0.381302498,CeBIT 2015,Germany,Hannover Exhibition Grounds,"Enterprise Resource Planning (ERP) & Data Analysis, Enterprise Content Management (ECM), Web & Mobile Solutions, IT Services, Security, Communication & Networks, Infrastructure & Data Center, Research & Innovation.","Machinery,IndustrialTechnology/Electric&Electronics(Products,Machinery);Information,Telecommunication/Telecommunication,DataProcessing,Computer;Information,Telecommunication/OfficeSupplies&Equipment,OfficeAutomation",Annual,NULL
0.491158394,15th China International Petroleum & Petrochemical Technology and Equipment Exhibition (cippe)(cippe Beijing),China,"New China International Exhibition Center, Beijing","Oil & gas exploration, exploit, and production equipment, well logging and drilling ( for onshore and offshore ), Examination & repair, maintenance, and management of petroleum & petrochemical equipments, pipeline engineering, oil refining.","FundamentalIndustries/Mining,Energy;Machinery,IndustrialTechnology/Metals,MetalProducts,Hardware,Tools;Machinery,IndustrialTechnology/Testing,Measuring&Analyzing,PrecisionMechanics;Machinery,IndustrialTechnology/ManufacturingTechnology&Engineering;Transportation,Logistics,Packaging/Marine,Shipbuilding,Shipping,PortEquipment;Transportation,Logistics,Packaging/Logistics,Storage,Warehousing",Annual,cippe@zhenweiexpo.com
0.417068122,ICE Europe 2015 - 9th International Converting Exhibition(ICE Europe ),Germany,Munich Trade Fair Centre,"All areas of converting: Coating and Laminating, Treating, Drying and Curing, Slitting and Rewinding, Finishing, Control, Test and Measurement.","FundamentalIndustries/Chemistry,Rubber,Plastics,Materials;Machinery,IndustrialTechnology/OtherIndustrialMachinery&Equipment;Transportation,Logistics,Packaging/Packaging(Materials,Machinery&Equipment);Living/Textiles&Apparel(Materials,Products&Machinery);Living/Paper&PaperProducts,Printing&Publishing",Biennial,info@ice-x.com
0.416845471,CCE International 2015 - Corrugated & Carton Exhibition(CCE International),Germany,Munich Trade Fair Centre,"Paper and raw materials, Corrugator equipment and components, Flexo preprint machinery, Flexo postprint machinery, Digital printing equipment, Corrugated converting machinery, Ancilliary equipment, Materials handling systems, Pallet strapping and handling systems, ...","Machinery,IndustrialTechnology/OtherIndustrialMachinery&Equipment;Machinery,IndustrialTechnology/ManufacturingTechnology&Engineering;Transportation,Logistics,Packaging/Logistics,Storage,Warehousing;Transportation,Logistics,Packaging/Packaging(Materials,Machinery&Equipment);Living/Paper&PaperProducts,Printing&Publishing",Biennial,info@cce-international.com
0.532538277,ACMA Automechanika New Delhi 2015,India,Pragati Maidan,"Parts & Systems, Accessories & Tuning, Tyres & Batteries, Repair & Maintenance, IT & Management and Service Station & Car Wash.","Transportation,Logistics,Packaging/Automobiles(incl.Parts,Machinery);Transportation,Logistics,Packaging/Equipment&SupplyforAutomotiveServices",Biennial,info@acma-automechanika.in
0.553482012,IDS 2015 - 36th International Dental Show(IDS 2015),Germany,Cologne exhibition centre,Dental Technical and Dental Medical Products.,"MedicalCare,Health/Dental&Odontology,Ophthalmology;MedicalCare,Health/Medical&HospitalEquipment,,Supplies",Biennial,ids@visitor.koelnmesse.de
0.414758192,Tyrexpo Asia 2015,Singapore,Singapore Expo Center,"Tire, Tube, Tire accessories, workshop, tire producion, material, waste management, industry safety, etc.","Machinery,IndustrialTechnology/OtherIndustrialMachinery&Equipment;Machinery,IndustrialTechnology/ManufacturingTechnology&Engineering;Transportation,Logistics,Packaging/Automobiles(incl.Parts,Machinery);Transportation,Logistics,Packaging/Equipment&SupplyforAutomotiveServices;Transportation,Logistics,Packaging/Bicycles,Motorcycles(incl.Parts);Transportation,Logistics,Packaging/RailTraffic&OtherTransportationMachinery",Biennial,tyrexpo@singex.com
0.427360696,"21st Moscow International Exhibition PROTECTION , SECURITY and  FIRE SAFETY(MIPS 2015)",Russia,All-Russia Exhibition Centre (V.V.C.),"Industrial/Personal Security Equipment, Public Security, Police Protection, Fire Safety, Fire-Brigade Requirements, Information Technology, Biometrics, CCTV, Access Control Systems, Customs, Alarms, Sensors, Perimeter Protection, Personal Protection, Banking Security.","Living/Security,Safety,FireProtection,Police,Defense;Machinery,IndustrialTechnology/Electric&Electronics(Products,Machinery);Information,Telecommunication/Telecommunication,DataProcessing,Computer;Transportation,Logistics,Packaging/Automobiles(incl.Parts,Machinery)",Annual,agnius.kazlauskas@ite-exhibitions.com
0.547148346,DOMOTEX asia/CHINAFLOOR 2015,China,Shanghai New International Expo Centre,"All kinds of Floorings, Cluding Hardwood and wood floorings, Resilient flooring, Carpet flooring, Floortech Asia, Laytech and Protech.",Others/Others,Annual,jessica.zhu@vnuexhibitions.com.cn
0.638340268,OFC Exposition 2015,United States,Los Angeles Convention Center,"Communications Equipment, Fiber Video Systems, Optoelectronic and Integrated Optics Devices and Components, Fiber Optics and Related Products, Fiber-Optic Components, Fiber Video Systems for CATV, Fiber-Optic Systems for Telecommunications.","Information,Telecommunication/Optics,OpticalInstruments,Laser;Machinery,IndustrialTechnology/Electric&Electronics(Products,Machinery);Information,Telecommunication/Telecommunication,DataProcessing,Computer",Annual,custserv@osa.org
